    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.000000+    2+   1+0.000000 
    3+   1+0.000000+    3+   1+0.000000 
    4+   1+0.000000+    4+   1+0.000000 
    5+   1+0.000000+    5+   1+0.000000 
    6+   1+0.000000+    6+   1+0.000000 
    7+   1+0.000000+    7+   1+0.000000 
    8+   1+0.000000+    8+   1+0.000000 
    9+   1+0.000000+    9+   1+0.000000 
   10+   1+0.000000+   10+   1+0.000000 
   10+   1+0.000000+   11+   1+0.000000 
   10+   1+0.000000+   12+   1+0.000000 
   10+   1+0.000000+   13+   1+0.000000 
   10+   1+0.000000+   14+   1+0.000000 
   10+   1+0.000000+   15+   1+0.000000 
   10+   1+0.000000+   16+   1+0.000000 
   10+   1+0.000000+   17+   1+0.000000 
   10+   1+0.000000+   18+   1+0.000000 
   10+   1+0.000000+   19+   1+0.000000 
   10+   1+0.000000+   20+   1+0.000000 
   10+   1+0.000000+   21+   2+0.000000 
   10+   1+0.000000+   22+   2+0.000000 
   10+   1+0.000000+   23+   2+0.000000 
   10+   1+0.000000+   24+   2+0.000000 
   10+   1+0.000000+   25+   2+0.000000 
   10+   1+0.000000+   26+   2+0.000000 
   10+   1+0.000000+   27+   2+0.000000 
   10+   1+0.000000+   28+   2+0.000000 
   10+   1+0.000000+   29+   2+0.000000 
   10+   1+0.000000+   30+   2+0.000000 
   10+   1+0.000000+   31+   2+0.000000 
   10+   1+0.000000+   32+   2+0.000000 
   10+   1+0.000000+   33+   2+0.000000 
   10+   1+0.000000+   34+   2+0.000000 
   10+   1+0.000000+   35+   2+0.000000 
   10+   1+0.000000+   36+   2+0.000000 
   10+   1+0.000000+   37+   2+0.000000 
   10+   1+0.000000+   38+   2+0.000000 
   10+   1+0.000000+   39+   2+0.000000 
   10+   1+0.000000+   40+   2+0.000000 
   10+   1+0.000000+   41+   2+0.000000 
   10+   1+0.000000+   42+   2+0.000000 
   10+   1+0.000000+   43+   2+0.000000 
   10+   1+0.000000+   44+   2+0.000000 
   10+   1+0.000000+   45+   2+0.000000 
   10+   1+0.000000+   46+   2+0.000000 
   10+   1+0.000000+   47+   2+0.000000 
   10+   1+0.000000+   48+   2+0.000000 
   10+   1+0.000000+   49+   2+0.000000 
   10+   1+0.000000+   50+   2+0.000000 
   10+   1+0.000000+   51+   2+0.000000 
   10+   1+0.000000+   52+   2+0.000000 
   10+   1+0.000000+   53+   2+0.000000 
   10+   1+0.000000+   54+   2+0.000000 
   10+   1+0.000000+   55+   2+0.000000 
   10+   1+0.000000+   56+   2+0.000000 
   10+   1+0.000000+   57+   2+0.000000 
   10+   1+0.000000+   58+   2+0.000000 
   10+   1+0.000000+   59+   2+0.000000 
   10+   1+0.000000+   60+   2+0.000000 
   10+   1+0.000000+   61+   2+0.000000 
   10+   1+0.000000+   62+   2+0.000000 
   10+   1+0.000000+   63+   2+0.000000 
   10+   1+0.000000+   64+   2+0.000000 
   10+   1+0.000000+   65+   2+0.000000 
   10+   1+0.000000+   66+   2+0.000000 
   10+   1+0.000000+   67+   2+0.000000 
   10+   1+0.000000+   68+   2+0.000000 
   10+   1+0.000000+   69+   2+0.000000 
   10+   1+0.000000+   70+   2+0.000000 
   10+   1+0.000000+   71+   2+0.000000 
   10+   1+0.000000+   72+   2+0.000000 
   10+   1+0.000000+   73+   2+0.000000 
   10+   1+0.000000+   74+   2+0.000000 
   10+   1+0.000000+   75+   2+0.000000 
   10+   1+0.000000+   76+   2+0.000000 
   10+   1+0.000000+   77+   2+0.000000 
   10+   1+0.000000+   78+   2+0.000000 
   10+   1+0.000000+   79+   2+0.000000 
   10+   1+0.000000+   80+   2+0.000000 
   10+   1+0.000000+   81+   2+0.000000 
   10+   1+0.000000+   82+   2+0.000000 
   10+   1+0.000000+   83+   2+0.000000 
   10+   1+0.000000+   84+   2+0.000000 
   10+   1+0.000000+   85+   2+0.000000 
   10+   1+0.000000+   86+   2+0.000000 
   10+   1+0.000000+   87+   2+0.000000 
   10+   1+0.000000+   88+   2+0.000000 
   10+   1+0.000000+   89+   2+0.000000 
   10+   1+0.000000+   90+   2+0.000000 
   10+   1+0.000000+   91+   2+0.000000 
   10+   1+0.000000+   92+   2+0.000000 
   10+   1+0.000000+   93+   2+0.000000 
   10+   1+0.000000+   94+   2+0.000000 
   10+   1+0.000000+   95+   2+0.000000 
   10+   1+0.000000+   96+   2+0.000000 
   10+   1+0.000000+   97+   2+0.000000 
   10+   1+0.000000+   98+   2+0.000000 
   10+   1+0.000000+   99+   2+0.000000 
   10+   1+0.000000+  100+   2+0.000000 
   10+   1+0.000000+  101+   2+0.000000 
   10+   1+0.000000+  102+   2+0.000000 
   10+   1+0.000000+  103+   2+0.000000 
   10+   1+0.000000+  104+   2+0.000000 
   10+   1+0.000000+  105+   2+0.000000 
   10+   1+0.000000+  106+   2+0.000000 
   10+   1+0.000000+  107+   2+0.000000 
   10+   1+0.000000+  108+   2+0.000000 
   10+   1+0.000000+  109+   2+0.000000 
   10+   1+0.000000+  110+   2+0.000000 
   10+   1+0.000000+  111+   2+0.000000 
   10+   1+0.000000+  112+   2+0.000000 
   10+   1+0.000000+  113+   2+0.000000 
   10+   1+0.000000+  114+   2+0.000000 
   10+   1+0.000000+  115+   2+0.000000 
   10+   1+0.000000+  116+   2+0.000000 
   10+   1+0.000000+  117+   2+0.000000 
   10+   1+0.000000+  118+   2+0.000000 
   10+   1+0.000000+  119+   2+0.000000 
   10+   1+0.000000+  120+   2+0.000000 
   10+   1+0.000000+  121+   2+0.000000 
   10+   1+0.000000+  122+   2+0.000000 
   10+   1+0.000000+  123+   2+0.000000 
   10+   1+0.000000+  124+   2+0.000000 
   10+   1+0.000000+  125+   2+0.000000 
   10+   1+0.000000+  126+   2+0.000000 
   10+   1+0.000000+  127+   2+0.000000 
   10+   1+0.000000+  128+   2+0.000000 
   10+   1+0.000000+  129+   2+0.000000 
   10+   1+0.000000+  130+   2+0.000000 
   10+   1+0.000000+  131+   2+0.000000 
   10+   1+0.000000+  132+   2+0.000000 
   10+   1+0.000000+  133+   2+0.000000 
   10+   1+0.000000+  134+   2+0.000000 
   10+   1+0.000000+  135+   2+0.000000 
   10+   1+0.000000+  136+   2+0.000000 
   10+   1+0.000000+  137+   2+0.000000 
   10+   1+0.000000+  138+   2+0.000000 
   10+   1+0.000000+  139+   2+0.000000 
   10+   1+0.000000+  140+   2+0.000000 
   10+   1+0.000000+  141+   2+0.000000 
   10+   1+0.000000+  142+   2+0.000000 
   10+   1+0.000000+  143+   2+0.000000 
   10+   1+0.000000+  144+   2+0.000000 
   10+   1+0.000000+  145+   2+0.000000 
   10+   1+0.000000+  146+   2+0.000000 
   10+   1+0.000000+  147+   2+0.000000 
   10+   1+0.000000+  148+   2+0.000000 
   10+   1+0.000000+  149+   2+0.000000 
   10+   1+0.000000+  150+   2+0.000000 
   10+   1+0.000000+  151+   2+0.000000 
   10+   1+0.000000+  152+   2+0.000000 
   10+   1+0.000000+  153+   2+0.000000 
   10+   1+0.000000+  154+   2+0.000000 
   10+   1+0.000000+  155+   2+0.000000 
   10+   1+0.000000+  156+   2+0.000000 
   10+   1+0.000000+  157+   2+0.000000 
   10+   1+0.000000+  158+   2+0.000000 
   10+   1+0.000000+  159+   2+0.000000 
   10+   1+0.000000+  160+   2+0.000000 
   10+   1+0.000000+  161+   2+0.000000 
   10+   1+0.000000+  162+   2+0.000000 
   10+   1+0.000000+  163+   2+0.000000 
   10+   1+0.000000+  164+   2+0.000000 
   10+   1+0.000000+  165+   2+0.000000 
   10+   1+0.000000+  166+   2+0.000000 
   10+   1+0.000000+  167+   2+0.000000 
   10+   1+0.000000+  168+   2+0.000000 
   10+   1+0.000000+  169+   2+0.000000 
   10+   1+0.000000+  170+   2+0.000000 
   10+   1+0.000000+  171+   2+0.000000 
   10+   1+0.000000+  172+   2+0.000000 
   10+   1+0.000000+  173+   2+0.000000 
   10+   1+0.000000+  174+   2+0.000000 
   10+   1+0.000000+  175+   2+0.000000 
   10+   1+0.000000+  176+   2+0.000000 
   10+   1+0.000000+  177+   2+0.000000 
   10+   1+0.000000+  178+   2+0.000000 
   10+   1+0.000000+  179+   2+0.000000 
   10+   1+0.000000+  180+   2+0.000000 
   10+   1+0.000000+  181+   2+0.000000 
   10+   1+0.000000+  182+   2+0.000000 
   10+   1+0.000000+  183+   2+0.000000 
   10+   1+0.000000+  184+   2+0.000000 
   10+   1+0.000000+  185+   2+0.000000 
   10+   1+0.000000+  186+   2+0.000000 
   10+   1+0.000000+  187+   2+0.000000 
   10+   1+0.000000+  188+   2+0.000000 
   10+   1+0.000000+  189+   2+0.000000 
   10+   1+0.000000+  190+   2+0.000000 
   10+   1+0.000000+  191+   2+0.000000 
   10+   1+0.000000+  192+   2+0.000000 
   10+   1+0.000000+  193+   2+0.000000 
   10+   1+0.000000+  194+   2+0.000000 
   10+   1+0.000000+  195+   2+0.000000 
   10+   1+0.000000+  196+   2+0.000000 
   10+   1+0.000000+  197+   2+0.000000 
   10+   1+0.000000+  198+   2+0.000000 
   10+   1+0.000000+  199+   2+0.000000 
   10+   1+0.000000+  200+   2+0.000000 
   10+   1+0.000000+  201+   2+0.000000 
   10+   1+0.000000+  202+   2+0.000000 
   10+   1+0.000000+  203+   2+0.000000 
   10+   1+0.000000+  204+   2+0.000000 
   10+   1+0.000000+  205+   2+0.000000 
